-1	1996.0	0.9	0.9
1	1919.2222222222222	183479081825.20468	121147639345.31589	89
1	1919.2222222222222	183479081825.20468	121147639345.31589	40
1	1919.2222222222222	183479081825.20468	121147639345.31589	67
1	1919.2222222222222	183479081825.20468	121147639345.31589	20
1	1919.2222222222222	183479081825.20468	121147639345.31589	25
1	1919.2222222222222	183479081825.20468	121147639345.31589	84
1	1919.2222222222222	183479081825.20468	121147639345.31589	59
1	1919.2222222222222	183479081825.20468	121147639345.31589	77
1	1919.2222222222222	183479081825.20468	121147639345.31589	56
1	1919.2222222222222	183479081825.20468	121147639345.31589	13
1	1919.2222222222222	183479081825.20468	121147639345.31589	28
1	1919.2222222222222	183479081825.20468	121147639345.31589	29
1	1919.2222222222222	183479081825.20468	121147639345.31589	98
1	1919.2222222222222	183479081825.20468	121147639345.31589	37
2	1.0	1.0	1.0	1
2	1.0	1.0	1.0	90
3	2524.5	4735629122.84814	3126660113.414137
4	2663.0	4105962588.2025056	2711070357.8720117	67
4	2663.0	4105962588.2025056	2711070357.8720117	90
4	2663.0	4105962588.2025056	2711070357.8720117	43
5	3288.0	2638821580.0980544	1742161259.0318487	4
5	3288.0	2638821580.0980544	1742161259.0318487	45
6	1.0	1.0	1.0	89
6	1.0	1.0	1.0	73
7	1231.5	653753320.2695572	431644172.6289197
8	2060.25	2866386943.578607	1892535870.2264903	10
8	2060.25	2866386943.578607	1892535870.2264903	28
8	2060.25	2866386943.578607	1892535870.2264903	41
9	2468.0	9326658612.240108	6157898086.845204	23
9	2468.0	9326658612.240108	6157898086.845204	57
10	1325.6666666666667	1739991595.8786104	1148714730.3202856	1
10	1325.6666666666667	1739991595.8786104	1148714730.3202856	58
11	1411.0	747958076.336198	493839061.5191223	25
11	1411.0	747958076.336198	493839061.5191223	71
12	2886.3333333333335	11127259109.887205	7346899426.582349	77
13	3858.6666666666665	28894556759.225082	19078449375.208355	52
14	2518.3333333333335	7579089858.357051	5004086816.768406	74
14	2518.3333333333335	7579089858.357051	5004086816.768406	65
15	992.5	1516312022.5397964	1001131188.1882153	26
15	992.5	1516312022.5397964	1001131188.1882153	1
16	3567.5	3298685610.960653	2178029252.8941727	43
16	3567.5	3298685610.960653	2178029252.8941727	48
17	2431.6666666666665	6916562245.025093	4566508158.420548	77
17	2431.6666666666665	6916562245.025093	4566508158.420548	76
17	2431.6666666666665	6916562245.025093	4566508158.420548	56
17	2431.6666666666665	6916562245.025093	4566508158.420548	63
17	2431.6666666666665	6916562245.025093	4566508158.420548	44
18	1367.0	3518858082.889831	2323267829.233665	63
18	1367.0	3518858082.889831	2323267829.233665	93
18	1367.0	3518858082.889831	2323267829.233665	36
18	1367.0	3518858082.889831	2323267829.233665	40
18	1367.0	3518858082.889831	2323267829.233665	55
18	1367.0	3518858082.889831	2323267829.233665	62
19	1753.6666666666667	6697071936.550386	4421847295.977005	62
19	1753.6666666666667	6697071936.550386	4421847295.977005	34
19	1753.6666666666667	6697071936.550386	4421847295.977005	87
19	1753.6666666666667	6697071936.550386	4421847295.977005	37
19	1753.6666666666667	6697071936.550386	4421847295.977005	55
20	3698.6666666666665	35060217339.8631	23149612371.343277	59
20	3698.6666666666665	35060217339.8631	23149612371.343277	45
20	3698.6666666666665	35060217339.8631	23149612371.343277	75
20	3698.6666666666665	35060217339.8631	23149612371.343277	40
21	2831.0	1231273370.751621	812938319.6276972	76
21	2831.0	1231273370.751621	812938319.6276972	25
21	2831.0	1231273370.751621	812938319.6276972	75
21	2831.0	1231273370.751621	812938319.6276972	3
22	1670.0	4746663688.916741	3134082029.4946256	55
22	1670.0	4746663688.916741	3134082029.4946256	67
22	1670.0	4746663688.916741	3134082029.4946256	19
22	1670.0	4746663688.916741	3134082029.4946256	91
23	2859.125	11415253387.86897	7536492800.368736	102
23	2859.125	11415253387.86897	7536492800.368736	17
23	2859.125	11415253387.86897	7536492800.368736	40
23	2859.125	11415253387.86897	7536492800.368736	52
23	2859.125	11415253387.86897	7536492800.368736	33
